X,Y,1StationTe,LocalEasti,LocalNorth,LocalHeigh,Descriptor,StationTex,WGS84Latit,WGS84Longi,Field9,Field10,Field11,Track,Feature,icon_url
146.428904642534,-8.05988271974285,GPS6I-B,436955.447,9108872.385,147.350,GPS1,GPS6I-B,-8.060,146.429,,,,6.000,,./0.png
146.445671399586,-8.05516289467813,GPS6J,438802.258,9109396.745,191.301,GPS1,GPS6J,-8.055,146.446,,,,6.000,,./0.png
146.445454464542,-8.05511735066381,GPS6J-B,438778.347,9109401.748,188.038,GPS1,GPS6J-B,-8.055,146.445,,,,6.000,,./0.png
146.511935355798,-8.18581438236885,GPS_4E,446121.267,9094961.575,391.568,GPS1,GPS_4E,-8.186,146.512,,,,4.000,,./0.png
146.511364244689,-8.18558418405191,GPS_4E-B,446058.326,9094986.949,398.766,GPS1,GPS_4E-B,-8.186,146.511,,,,4.000,,./0.png
146.508629808634,-8.17256393684335,GPS_4F-A,445755.360,9096426.070,401.144,GPS1,GPS_4F-A,-8.173,146.509,,,,4.000,,./0.png
146.508857599088,-8.17253412568739,GPS_4F-B,445780.449,9096429.397,402.039,GPS1,GPS_4F-B,-8.173,146.509,,,,4.000,,./0.png
146.498229938592,-8.13274001970296,GPS_4I-A,444604.267,9100827.500,354.242,GPS1,GPS_4I-A,-8.133,146.498,,,,4.000,,./0.png
146.494281849118,-8.12160810506163,GPS_4J-A,444167.775,9102057.677,424.293,GPS1,GPS_4J-A,-8.122,146.494,,,,4.000,,./0.png
146.49412992797,-8.12193217576333,GPS_4J_B,444151.082,9102021.828,425.795,GPS1,GPS_4J_B,-8.122,146.494,,,,4.000,,./0.png
146.488662012948,-8.10771687809471,GPS_4K-A,443546.693,9103592.683,228.701,GPS1,GPS_4K-A,-8.108,146.489,,,,4.000,,./0.png
146.488903808839,-8.10762270613774,GPS_4K-B,443573.320,9103603.128,227.422,GPS1,GPS_4K-B,-8.108,146.489,,,,4.000,,./0.png
146.454547021788,-8.01099868936343,GPS_4P-A,439773.770,9114280.759,30.979,GPS1,GPS_4P-A,-8.011,146.455,,,,4.000,,./0.png
146.454308203676,-8.01112921670507,GPS_4P-B,439747.471,9114266.293,31.226,GPS1,GPS_4P-B,-8.011,146.454,,,,4.000,,./0.png
146.406222230866,-7.9647498961712,GPS_5E-A,434440.880,9119386.576,116.287,GPS1,GPS_5E-A,-7.965,146.406,,,,5.000,,./0.png
146.406298808419,-7.96491661471273,GPS_5E-B,434449.347,9119368.156,116.859,GPS1,GPS_5E-B,-7.965,146.406,,,,5.000,,./0.png
