X,Y,Type,Station,Line,Point,RecoverySP,DateDrille,DrillTeam,DateLoaded,Loader,DrilledDep,TopofCharg,GalvoTest1,GalvoTest2,Units1kg,DetsUsed10,TopAnch,EndCaps,Litologie,Comment1,Comment2,km,TypeofDril,icon_url
146.412484649522,-7.91250439320549,S,409626.500000000000000,"4",9626.500000000000000,,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1",Mudstone,,,0.090000000000000,Air,./0.png
146.412125191579,-7.91177347391912,S,409644.500000000000000,"4",9644.500000000000000,,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1",Mudstone,,,0.090000000000000,Air,./0.png
146.411765734818,-7.91104256343595,S,409662.500000000000000,"4",9662.500000000000000,409660.500000000000000,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.600000000000000,7.600000000000000,"2","2","1","1",Mudstone,HP,,0.090000000000000,Air,./0.png
146.411406279263,-7.91031164366607,S,409680.500000000000000,"4",9680.500000000000000,,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1",Mudstone,,,0.090000000000000,Air,./0.png
146.41104682489,-7.90958073269954,S,409698.500000000000000,"4",9698.500000000000000,,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.500000000000000,7.500000000000000,"2","2","1","1",Mudstone,,,0.090000000000000,Air,./0.png
146.410687371724,-7.90884981244646,S,409716.500000000000000,"4",9716.500000000000000,409727.500000000000000,2022/09/17,"3",2022/09/17,James Steven,"7",6.000000000000000,7.100000000000000,7.400000000000000,"2","2","1","1",Mudstone,Quick Sand,,0.090000000000000,Air,./0.png
146.410327919738,-7.90811890099694,S,409734.500000000000000,"4",9734.500000000000000,,2022/09/16,"3",2022/09/16,James Steven,"7",6.000000000000000,7.600000000000000,7.100000000000000,"2","2","1","1","Soft Clay, River Gravel",,,0.090000000000000,Air,./0.png
146.409968468959,-7.90738798026104,S,409752.500000000000000,"4",9752.500000000000000,,2022/09/15,"3",2022/09/15,James Steven,"7",6.000000000000000,7.600000000000000,7.400000000000000,"2","2","1","1","Loose Gravel, Hard Mudstone",,,0.090000000000000,Air,./0.png
146.40960901936,-7.9066570683289,S,409770.500000000000000,"4",9770.500000000000000,409767.500000000000000,2022/09/15,"3",2022/09/15,James Steven,"7",6.000000000000000,7.500000000000000,7.600000000000000,"2","2","1","1","Loose Gravel, Hard Mudstone",Cliff,,0.090000000000000,Air,./0.png
146.409249570967,-7.90592614711054,S,409788.500000000000000,"4",9788.500000000000000,,2022/09/15,"3",2022/09/15,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Loose Gravel, Hard Mudstone",,,0.090000000000000,Air,./0.png
