X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
446443.925435459,9093003.41486461,402786,446443.925,9093003.415,258.447,S,,,,,,,,,./0.png
446435.26232163,9093032.57488655,402792,446435.262,9093032.575,253.910,S,,,,,,,,,./0.png
446428.729309231,9093061.90090868,402798,446428.729,9093061.901,255.964,S,,,,,,,,,./0.png
446418.969591636,9093090.29361944,402804,446418.970,9093090.294,259.085,S,,,,,,,,,./0.png
446411.51617848,9093119.47998781,402810,446411.516,9093119.480,262.097,S,,,,,,,,,./0.png
446407.252798094,9093149.11113848,402816,446407.253,9093149.111,267.723,S,,,,,,,,,./0.png
446404.375305854,9093179.42776955,402822,446404.375,9093179.428,276.136,S,,,,,,,,,./0.png
446403.500151354,9093209.88044349,402828,446403.500,9093209.880,278.691,S,,,,,,,,,./0.png
446393.357703446,9093238.3099123,402834,446393.358,9093238.310,268.983,S,,,,,,,,,./0.png
446386.456785752,9093267.26776876,402840,446386.457,9093267.268,271.894,S,,,,,,,,,./0.png
446384.72817738,9093297.68590076,402846,446384.728,9093297.686,277.174,S,,,,,,,,,./0.png
446383.476610069,9093328.09354443,402852,446383.477,9093328.094,291.128,S,,,,,,,,,./0.png
446376.728094817,9093357.19457124,402858,446376.728,9093357.195,296.881,S,,,,,,,,,./0.png
446368.291238421,9093386.40318451,402864,446368.291,9093386.403,299.545,S,,,,,,,,,./0.png
446361.229497857,9093415.43925988,402870,446361.229,9093415.439,301.779,S,,,,,,,,,./0.png
446354.53602813,9093444.50901645,402876,446354.536,9093444.509,291.718,S,,,,,,,,,./0.png
446348.342063393,9093473.93899379,402882,446348.342,9093473.939,278.892,S,,,,,,,,,./0.png
446342.407697615,9093503.35770355,402888,446342.408,9093503.358,265.844,S,,,,,,,,,./0.png
446336.093647102,9093532.58104739,402894,446336.094,9093532.581,255.098,S,,,,,,,,,./0.png
446329.460900425,9093562.17836573,402900,446329.461,9093562.178,250.410,S,,,,,,,,,./0.png
446323.264361689,9093591.41363255,402906,446323.264,9093591.414,244.567,S,,,,,,,,,./0.png
446317.467933112,9093620.86855282,402912,446317.468,9093620.869,243.614,S,,,,,,,,,./0.png
446307.027844691,9093649.04766726,402918,446307.028,9093649.048,244.119,S,,,,,,,,,./0.png
446305.400429716,9093679.55642068,402924,446305.400,9093679.556,244.053,S,,,,,,,,,./0.png
446299.044481045,9093709.06759365,402930,446299.044,9093709.068,243.617,S,,,,,,,,,./0.png
446288.229701937,9093737.1243686,402936,446288.230,9093737.124,242.259,S,,,,,,,,,./0.png
446274.704333503,9093765.25012822,402942,446274.704,9093765.250,242.886,S,,,,,,,,,./0.png
446276.6617364,9093796.30878902,402948,446276.662,9093796.309,242.674,S,,,,,,,,,./0.png
446274.036865811,9093826.37572191,402954,446274.037,9093826.376,241.891,S,,,,,,,,,./0.png
446267.650182469,9093855.36950359,402960,446267.650,9093855.370,246.562,S,,,,,,,,,./0.png
446260.692369781,9093884.800245,402966,446260.692,9093884.800,259.568,S,,,,,,,,,./0.png
446253.818061778,9093913.80884154,402972,446253.818,9093913.809,261.951,S,,,,,,,,,./0.png
446247.414314233,9093943.4493459,402978,446247.414,9093943.449,254.095,S,,,,,,,,,./0.png
446244.003467175,9093973.16073036,402984,446244.003,9093973.161,246.767,S,,,,,,,,,./0.png
446229.526161721,9094000.94878335,402990,446229.526,9094000.949,244.050,S,,,,,,,,,./0.png
446228.74498071,9094026.23685057,402996,446228.745,9094026.237,244.019,S,,,,,,,,,./0.png
446224.051197872,9094060.99687716,403002,446224.051,9094060.997,244.242,S,,,,,,,,,./0.png
446218.60475659,9094085.2921236,403008,446218.605,9094085.292,243.577,S,,,,,,,,,./0.png
446207.811579756,9094118.70913793,403014,446207.812,9094118.709,242.929,S,,,,,,,,,./0.png
446205.580971485,9094148.90687643,403020,446205.581,9094148.907,244.467,S,,,,,,,,,./0.png
446200.685904954,9094178.73183908,403026,446200.686,9094178.732,244.824,S,,,,,,,,,./0.png
446193.75449423,9094207.88621317,403032,446193.754,9094207.886,249.259,S,,,,,,,,,./0.png
446191.150197355,9094237.79530979,403038,446191.150,9094237.795,259.843,S,,,,,,,,,./0.png
446183.008930124,9094266.92910678,403044,446183.009,9094266.929,266.052,S,,,,,,,,,./0.png
446176.493803506,9094296.08867853,403050,446176.494,9094296.089,272.368,S,,,,,,,,,./0.png
446171.103920783,9094325.62818919,403056,446171.104,9094325.628,283.455,S,,,,,,,,,./0.png
446164.542829215,9094355.06780263,403062,446164.543,9094355.068,295.743,S,,,,,,,,,./0.png
446157.315562981,9094384.10389432,403068,446157.316,9094384.104,302.711,S,,,,,,,,,./0.png
446152.378611299,9094413.76371812,403074,446152.379,9094413.764,307.040,S,,,,,,,,,./0.png
446148.390704733,9094443.47545094,403080,446148.391,9094443.475,313.263,S,,,,,,,,,./0.png
446142.414976119,9094473.12673797,403086,446142.415,9094473.127,316.024,S,,,,,,,,,./0.png
446136.23583732,9094502.34323594,403092,446136.236,9094502.343,319.906,S,,,,,,,,,./0.png
446128.917558759,9094531.31526615,403098,446128.918,9094531.315,323.770,S,,,,,,,,,./0.png
446122.087098495,9094560.5995829,403104,446122.087,9094560.600,323.946,S,,,,,,,,,./0.png
446115.213552647,9094589.86907236,403110,446115.214,9094589.869,327.466,S,,,,,,,,,./0.png
446107.612728468,9094619.05810154,403116,446107.613,9094619.058,329.590,S,,,,,,,,,./0.png
446098.699791491,9094647.58976101,403122,446098.700,9094647.590,332.222,S,,,,,,,,,./0.png
446090.679196938,9094676.604597,403128,446090.679,9094676.605,334.290,S,,,,,,,,,./0.png
446086.023778421,9094711.58832782,403136,446086.024,9094711.588,337.078,S,,,,,,,,,./0.png
446081.852514111,9094736.0254599,403140,446081.853,9094736.025,344.991,S,,,,,,,,,./0.png
446073.099039949,9094765.1069587,403146,446073.099,9094765.107,350.962,S,,,,,,,,,./0.png
446066.506351899,9094794.15049204,403152,446066.506,9094794.150,357.867,S,,,,,,,,,./0.png
446058.285551891,9094823.16605886,403158,446058.286,9094823.166,360.391,S,,,,,,,,,./0.png
446055.019763705,9094853.06396853,403164,446055.020,9094853.064,364.894,S,,,,,,,,,./0.png
446049.344415239,9094882.79770049,403170,446049.344,9094882.798,364.318,S,,,,,,,,,./0.png
446040.340209024,9094911.5884587,403176,446040.340,9094911.588,365.761,S,,,,,,,,,./0.png
446037.385126504,9094941.39506596,403182,446037.385,9094941.395,378.863,S,,,,,,,,,./0.png
446039.145659775,9094972.36226593,403188,446039.146,9094972.362,394.521,S,,,,,,,,,./0.png
446025.894722817,9095000.30044038,403194,446025.895,9095000.300,397.296,S,,,,,,,,,./0.png
446015.037279458,9095028.88185996,403200,446015.037,9095028.882,384.058,S,,,,,,,,,./0.png
446008.308718993,9095058.02918687,403206,446008.309,9095058.029,375.189,S,,,,,,,,,./0.png
446000.756289579,9095087.2781358,403212,446000.756,9095087.278,369.094,S,,,,,,,,,./0.png
445996.230995235,9095116.95003722,403218,445996.231,9095116.950,362.274,S,,,,,,,,,./0.png
445991.40943139,9095146.59100111,403224,445991.409,9095146.591,354.531,S,,,,,,,,,./0.png
445986.561982176,9095175.98494052,403230,445986.562,9095175.985,353.083,S,,,,,,,,,./0.png
445981.302843148,9095205.43564437,403236,445981.303,9095205.436,344.387,S,,,,,,,,,./0.png
445976.290723309,9095225.11615784,403240,445976.291,9095225.116,339.259,S,,,,,,,,,./0.png
445965.743955567,9095263.62367753,403248,445965.744,9095263.624,337.150,S,,,,,,,,,./0.png
445959.562980277,9095292.84779785,403254,445959.563,9095292.848,332.691,S,,,,,,,,,./0.png
445953.585712643,9095322.45896053,403260,445953.586,9095322.459,332.688,S,,,,,,,,,./0.png
445945.564877836,9095351.52526383,403266,445945.565,9095351.525,329.095,S,,,,,,,,,./0.png
445940.919569724,9095380.92673221,403272,445940.920,9095380.927,329.106,S,,,,,,,,,./0.png
445938.58997947,9095400.87717177,403276,445938.590,9095400.877,327.411,S,,,,,,,,,./0.png
445924.6779293,9095439.2043938,403284,445924.678,9095439.204,325.509,S,,,,,,,,,./0.png
445929.702805861,9095470.70414112,403290,445929.703,9095470.704,313.764,S,,,,,,,,,./0.png
445929.484189458,9095496.29347459,403296,445929.484,9095496.293,303.352,S,,,,,,,,,./0.png
445922.586032775,9095530.35746422,403302,445922.586,9095530.357,291.749,S,,,,,,,,,./0.png
445925.816557514,9095561.82164347,403308,445925.817,9095561.822,285.738,S,,,,,,,,,./0.png
445919.849928979,9095590.90887072,403314,445919.850,9095590.909,283.831,S,,,,,,,,,./0.png
445905.997550211,9095618.69796811,403320,445905.998,9095618.698,282.949,S,,,,,,,,,./0.png
445898.230819828,9095648.02462555,403326,445898.231,9095648.025,282.411,S,,,,,,,,,./0.png
445893.172981687,9095672.48263501,403332,445893.173,9095672.483,282.056,S,,,,,,,,,./0.png
445889.258939335,9095707.20075477,403338,445889.259,9095707.201,282.369,S,,,,,,,,,./0.png
445884.642191646,9095737.03038898,403344,445884.642,9095737.030,282.543,S,,,,,,,,,./0.png
445880.46259563,9095766.79131701,403350,445880.463,9095766.791,282.351,S,,,,,,,,,./0.png
445874.586417022,9095796.31623365,403356,445874.586,9095796.316,282.398,S,,,,,,,,,./0.png
445870.564721786,9095815.7540733,403360,445870.565,9095815.754,282.222,S,,,,,,,,,./0.png
445862.588718735,9095854.92928638,403368,445862.589,9095854.929,282.587,S,,,,,,,,,./0.png
445856.535758588,9095884.30677836,403374,445856.536,9095884.307,283.261,S,,,,,,,,,./0.png
445850.025071655,9095913.70129553,403380,445850.025,9095913.701,283.559,S,,,,,,,,,./0.png
445842.47470961,9095953.0996301,403388,445842.475,9095953.100,283.470,S,,,,,,,,,./0.png
445838.424714139,9095972.37758689,403392,445838.425,9095972.378,283.773,S,,,,,,,,,./0.png
445833.019578965,9096001.93031357,403398,445833.020,9096001.930,283.534,S,,,,,,,,,./0.png
